Industry,Sub-sector,Sub level,Description
Industrial products,Chemicals,Chemicals,"Companies that primarily produce industrial chemicals and basic chemicals. Including but not limited to plastics, synthetic fibres, films, commodity-based paints & pigments, explosives and petrochemicals. Excludes chemical companies classified in the diversified chemicals, fertilisers & agricultural chemicals, industrial gases, or specialty chemicals sub-industries."
Industrial products,Commercial printing,,Companies providing commercial printing services. Includes printers primarily serving the media industry.
Industrial products,Construction & farm machinery & heavy trucks,,"Manufacturers of heavy duty trucks, rolling machinery, earth-moving and construction equipment, heavy farm machinery and manufacturers of related parts. Includes non-military shipbuilding."
Industrial products,Construction materials,,"Manufacturers of construction materials including sand, clay, gypsum, lime, aggregates, cement, concrete and bricks. Other finished or semi-finished building materials are classified  in the building products sub-industry."
Industrial products,Containers & packaging,,"Manufacturers of metal, glass or plastic containers. Includes corks and caps."
Industrial products,Electrical equipment,,"Companies that produce electric cables and wires, electrical components or equipment not classified in the heavy electrical equipment sub-industry."
Industrial products,Highways & rail tracks,,"Owners and operators of roads, tunnels and rail tracks."
Industrial products,Industrial conglomerates,,"Diversified industrial companies with business activities in three or more sectors, none of which contributes a majority of revenues. Stakes held are predominantly of a controlling nature and stake holders maintain an operational interest in the running of the subsidiaries."
Industrial products,Industrial machinery,,"Manufacturers of industrial machinery and industrial components. Includes companies that manufacture presses, machine tools, compressors, pollution control equipment, elevators, escalators, insulators, pumps, roller bearings and other metal fabrications."
Industrial products,Marine,,"Companies providing goods (including oil and gas shipping companies) or passenger maritime transportation. Excludes cruise-ships classified in the hotels, resorts & cruise lines sub-industry."
Industrial products,Marine ports & services,,Owners and operators of marine ports and related services.
Industrial products,Office electronics,,Manufacturers of office electronic equipment including copiers and faxes.
Industrial products,Office services & supplies,,Providers of office services and manufacturers of office supplies and equipment not classified elsewhere.
Industrial products,Paper & forest products,,Manufacturers of timber and related wood products. Includes lumber for the building industry.
Industrial products,Security & alarm services,,"Companies providing security and protection services to business and governments. Includes companies providing services such as correctional facilities, security & alarm services, armoured transportation & guarding.  Excludes companies providing security software classified under the systems software sub-industry and home security services classified under the Specialised consumer services sub-industry. Also excludes companies manufacturing security system equipment classified under the electronic equipment & instruments sub-industry. "
Industrial products,Trading companies & distributors,,Trading companies and other distributors of industrial equipment and products.
Not for profit,Charities,Cultural organisations,No description
Not for profit,Education,For profit colleges and universities,"Education services: includes organisations providing educational services, either on-line or through conventional teaching methods. includes schools Includes, private universities, correspondence teaching, providers of educational seminars, educational materials and technical education. Excludes companies providing employee education programs classified in the human resources & employment services sub-industry"
Not for profit,Charities,Foundations,No description
Not for profit,Education,Further education (continuing education),"Education services: includes organisations providing educational services, either on-line or through conventional teaching methods. includes schools Includes, private universities, correspondence teaching, providers of educational seminars, educational materials and technical education. Excludes companies providing employee education programs classified in the human resources & employment services sub-industry"
Not for profit,Social housing,Housing organisations,Organisations that provide low-cost housing for those who cannot afford normal housing. 
Not for profit,Charities,International NGOs,Non governmental organisations (NGO)
Not for profit,Charities,Membership organisations,Organisations that do not distribute surpluses and are member owned or run
Not for profit,Charities,Museums,No description
Not for profit,Other not for profit organisations,Other not for profit organisations,Charitable organisations and all other entities not elsewhere classified that have a statutory requirement not to distribute profits 
Not for profit,Education,Private colleges and universities (not-for-profit),"Education services: includes organisations providing educational services, either on-line or through conventional teaching methods. includes schools Includes, private universities, correspondence teaching, providers of educational seminars, educational materials and technical education. Excludes companies providing employee education programs classified in the human resources & employment services sub-industry"
Not for profit,Charities,Professional and trade associations,No description
Not for profit,Education,Public and private primary and secondary schools including religious schools,"Education services: includes organisations providing educational services, either on-line or through conventional teaching methods. includes schools Includes, private universities, correspondence teaching, providers of educational seminars, educational materials and technical education. Excludes companies providing employee education programs classified in the human resources & employment services sub-industry"
Not for profit,Education,Public colleges and universities (government),"Education services: includes organisations providing educational services, either on-line or through conventional teaching methods. includes schools Includes, private universities, correspondence teaching, providers of educational seminars, educational materials and technical education. Excludes companies providing employee education programs classified in the human resources & employment services sub-industry"
Not for profit,Charities,Religious organisations,No description
Not for profit,Charities,Social services organisations,No description
Individual private clients,Individual or family,Individual or family,An individual or a family
Individual private clients,Trust,Trust,A trust or a fund set up to manage or invest in assets on behalf of an individual or a family 
Public sector,"County, regional and municipal",,Local government is the lowest tier of administration within a state.
Public sector,Donor or international development organisations,,"Development aid organisations dedicated to distributing aid, including bilateral, multilateral and international organisations, regional development banks, international finance institution (IFI). "
Public sector,National or federal,,A central or federal government is the government of a nation-state and is more typically a characteristic of a unitary state and may have distinct powers at various levels authorised or delegated to it by its member states.
Public sector,State and provincial,,"A country subdivision in a federal form of government, sharing political power with the federal or national government. "
Public sector,Supranational governmental organisations,,"A supranational union with negotiated power delegated to an authority by governments of member states. This includes organisations such as Africa Union (AU), European Union,  Association of Southeast Asian Nations (ASEAN), Union of South American Nations (USAN), Arab League, North American Free Trade Agreement (NAFTA)"
Public sector,Quasi-Government ,,"An entity treated by national laws and regulations to be under the guidance of the government but separate and autonomous from the government. The entity may receive revenue from charging customers for its services, but is partially or majorly funded by a government to deliver a specified service."
